order_id,product_id,category,old_name,price,base_price,status,amount,region,priority,user_id
175,1175,Grocery,item_175,491.37,51.32,Cancelled,559.05,South,Low,175
176,1176,Furniture,item_176,266.79,308.8,Pending,1149.91,East,Medium,176
177,1177,Grocery,item_177,342.66,35.66,Cancelled,1959.55,North,Medium,177
178,1178,Furniture,item_178,149.23,364.63,Cancelled,2895.01,South,Medium,178
179,1179,Clothing,item_179,459.21,162.01,Cancelled,2110.52,West,High,179
180,1180,Electronics,item_180,161.7,194.57,Pending,2448.9,North,Low,180
181,1181,Toys,item_181,187.3,187.67,Completed,2855.95,East,Medium,181
182,1182,Clothing,item_182,85.92,154.94,Completed,1547.68,North,Low,182
183,1183,Toys,item_183,74.21,194.59,Completed,583.5,South,Low,183
184,1184,Furniture,item_184,188.51,362.6,Pending,1851.26,West,High,184
185,1185,Grocery,item_185,483.14,394.34,Completed,1135.13,West,Medium,185
186,1186,Furniture,item_186,256.42,215.14,Completed,2459.83,South,Medium,186
187,1187,Furniture,item_187,438.32,281.72,Completed,2148.63,North,Medium,187
188,1188,Clothing,item_188,143.67,453.6,Completed,2501.59,North,High,188
189,1189,Grocery,item_189,465.93,213.3,Pending,1530.92,South,Medium,189
190,1190,Grocery,item_190,120.02,166.16,Completed,2525.57,East,High,190
191,1191,Grocery,item_191,459.52,241.5,Completed,2288.58,West,Medium,191
192,1192,Electronics,item_192,19.31,115.67,Completed,1668.97,West,High,192
193,1193,Clothing,item_193,157.56,33.4,Pending,1934.91,West,High,193
194,1194,Furniture,item_194,302.4,18.05,Cancelled,1746.39,South,Medium,194
195,1195,Toys,item_195,182.88,289.63,Completed,2009.9,North,Low,195
196,1196,Electronics,item_196,477.17,276.6,Cancelled,1684.75,West,Medium,196
197,1197,Furniture,item_197,490.71,134.29,Completed,1103.43,North,Medium,
198,1198,Electronics,item_198,388.04,370.24,Pending,443.56,East,Low,198
199,1199,Clothing,item_199,416.89,345.49,Cancelled,1461.67,South,High,199
200,1200,Furniture,item_200,28.12,108.78,Completed,2663.08,East,Medium,200
201,1201,Toys,item_201,241.97,27.94,Cancelled,613.76,East,High,201
202,1202,Grocery,item_202,143.88,401.68,Pending,2673.99,West,Medium,202
203,1203,Clothing,item_203,253.14,253.79,Cancelled,836.83,North,Low,203
204,1204,Furniture,item_204,305.2,412.95,Cancelled,916.61,North,High,204
205,1205,Grocery,item_205,160.18,305.28,Pending,541.6,West,Medium,205
206,1206,Grocery,item_206,311.28,223.12,Cancelled,2941.08,North,High,206
207,1207,Furniture,item_207,188.02,402.54,Cancelled,521.96,North,High,207
208,1208,Furniture,item_208,27.05,42.94,Cancelled,1130.67,West,Low,208
209,1209,Clothing,item_209,342.74,474.92,Pending,1359.62,North,Low,
210,1210,Grocery,item_210,205.04,328.28,Completed,2883.53,North,Low,210
211,1211,Toys,item_211,199.62,285.22,Pending,2336.15,West,High,211
212,1212,Grocery,item_212,350.05,499.33,Completed,411.78,North,Medium,212
213,1213,Furniture,item_213,498.66,407.15,Pending,2020.13,North,Low,213
214,1214,Grocery,item_214,427.17,358.79,Cancelled,1931.22,East,Low,214
215,1215,Clothing,item_215,398.11,126.0,Pending,127.54,East,Medium,215
216,1216,Toys,item_216,73.59,443.28,Completed,962.41,West,Low,216
217,1217,Furniture,item_217,413.44,46.14,Pending,1944.9,West,Medium,217
218,1218,Grocery,item_218,72.88,416.24,Cancelled,1937.39,South,High,218
219,1219,Electronics,item_219,417.38,263.87,Pending,535.74,East,Low,219
220,1220,Toys,item_220,448.51,424.51,Pending,629.09,East,High,220
221,1221,Toys,item_221,271.4,256.26,Completed,1795.83,South,High,221
222,1222,Toys,item_222,175.43,462.73,Completed,2484.45,North,High,222
223,1223,Toys,item_223,139.68,113.3,Cancelled,1278.93,North,Medium,
224,1224,Toys,item_224,151.94,478.76,Pending,772.39,West,Medium,224
225,1225,Electronics,item_225,87.46,213.65,Pending,651.87,South,Medium,225
226,1226,Grocery,item_226,369.76,431.78,Pending,435.76,East,Low,226
227,1227,Grocery,item_227,128.45,70.04,Pending,781.36,North,High,227
228,1228,Furniture,item_228,433.44,214.89,Completed,2449.76,East,High,228
229,1229,Furniture,item_229,498.03,238.74,Pending,1517.24,North,Medium,229
230,1230,Clothing,item_230,115.42,182.92,Completed,880.0,West,Medium,230
231,1231,Electronics,item_231,221.15,442.4,Cancelled,1129.04,West,Medium,231
232,1232,Electronics,item_232,289.44,105.38,Cancelled,901.38,West,Low,
233,1233,Toys,item_233,147.06,494.65,Cancelled,1852.58,South,High,233
234,1234,Grocery,item_234,283.34,189.15,Completed,637.22,West,Low,234
235,1235,Electronics,item_235,77.15,173.19,Pending,1582.03,South,Low,
236,1236,Clothing,item_236,170.7,310.4,Completed,1209.22,East,Low,236
237,1237,Toys,item_237,270.85,357.28,Pending,1450.93,North,Medium,237
238,1238,Electronics,item_238,490.15,296.01,Cancelled,2622.69,North,Low,238
239,1239,Toys,item_239,293.04,363.49,Cancelled,1467.32,West,High,239
240,1240,Clothing,item_240,25.47,474.62,Completed,612.81,West,Medium,240
241,1241,Furniture,item_241,348.35,211.08,Cancelled,2765.54,North,Low,241
242,1242,Clothing,item_242,284.83,499.08,Pending,1600.16,East,High,242
243,1243,Toys,item_243,177.74,183.6,Cancelled,2058.2,East,Low,243
244,1244,Clothing,item_244,146.71,156.26,Pending,2324.96,South,Low,244
245,1245,Grocery,item_245,245.1,284.64,Cancelled,856.7,North,Low,245
246,1246,Furniture,item_246,448.92,203.32,Pending,2866.1,South,Medium,246
247,1247,Electronics,item_247,179.72,226.76,Pending,2254.65,South,High,
248,1248,Grocery,item_248,467.18,351.12,Completed,372.22,South,High,248
249,1249,Toys,item_249,120.58,124.09,Completed,1269.24,West,High,249
250,1250,Clothing,item_250,12.54,279.67,Completed,1250.38,West,Medium,250
251,1251,Grocery,item_251,167.37,326.49,Completed,1974.28,South,Low,251
252,1252,Electronics,item_252,457.48,95.78,Completed,2805.07,North,Medium,252
253,1253,Clothing,item_253,468.94,481.44,Pending,2636.39,North,Medium,253
254,1254,Electronics,item_254,464.94,174.17,Pending,2967.84,West,High,254
255,1255,Furniture,item_255,143.69,406.32,Pending,529.36,West,Low,255
256,1256,Clothing,item_256,16.9,175.18,Pending,1724.95,South,High,256
257,1257,Furniture,item_257,415.23,262.49,Completed,1232.46,North,High,257
258,1258,Furniture,item_258,168.56,131.54,Pending,1181.54,West,Medium,258
259,1259,Grocery,item_259,295.41,290.71,Pending,1978.37,South,High,259
260,1260,Furniture,item_260,160.34,208.65,Cancelled,2773.16,East,Low,260
261,1261,Grocery,item_261,190.1,118.22,Completed,1460.64,West,Low,261
262,1262,Grocery,item_262,213.76,279.12,Pending,2284.18,South,High,262
263,1263,Toys,item_263,437.84,50.12,Pending,1608.11,East,High,263
264,1264,Electronics,item_264,40.26,278.35,Cancelled,646.36,South,High,264
265,1265,Toys,item_265,226.5,343.34,Cancelled,1770.29,North,Low,265
266,1266,Electronics,item_266,232.18,261.49,Pending,1713.54,West,Low,266
267,1267,Electronics,item_267,204.01,410.06,Cancelled,692.81,North,High,267
268,1268,Electronics,item_268,275.17,39.53,Completed,2959.1,West,High,268
269,1269,Clothing,item_269,386.8,385.26,Cancelled,1955.35,West,Medium,269
270,1270,Furniture,item_270,229.78,459.39,Pending,1158.15,South,Low,270
271,1271,Electronics,item_271,97.45,273.26,Cancelled,425.67,South,High,271
272,1272,Grocery,item_272,236.87,362.36,Pending,1619.2,South,High,272
273,1273,Clothing,item_273,145.07,469.33,Cancelled,2308.2,North,Low,273
274,1274,Electronics,item_274,127.93,42.97,Cancelled,149.05,North,High,274
275,1275,Furniture,item_275,225.09,274.48,Completed,463.4,East,High,275
276,1276,Toys,item_276,166.26,302.98,Cancelled,2464.23,South,Medium,276
277,1277,Toys,item_277,118.31,157.25,Completed,1692.32,South,Low,277
278,1278,Toys,item_278,252.85,486.42,Cancelled,2030.46,East,Low,278
279,1279,Clothing,item_279,156.95,100.1,Cancelled,1446.88,South,Medium,279
280,1280,Clothing,item_280,404.83,458.22,Cancelled,1267.4,West,Low,280
281,1281,Furniture,item_281,129.0,109.63,Cancelled,283.26,West,Medium,281
282,1282,Clothing,item_282,35.25,194.81,Cancelled,1828.62,North,High,282
283,1283,Toys,item_283,364.91,283.84,Pending,666.22,East,Medium,283
284,1284,Electronics,item_284,113.79,103.11,Cancelled,396.08,West,High,284
285,1285,Clothing,item_285,204.35,127.27,Pending,2337.77,West,Medium,285
286,1286,Grocery,item_286,161.13,186.23,Pending,1424.71,West,Medium,286
287,1287,Grocery,item_287,163.33,32.4,Completed,2236.69,North,Medium,287
288,1288,Toys,item_288,293.78,214.61,Completed,628.77,South,Medium,288
289,1289,Clothing,item_289,254.66,330.76,Cancelled,1045.81,West,Low,289
290,1290,Furniture,item_290,235.81,369.06,Pending,549.33,West,High,290
291,1291,Toys,item_291,495.26,479.05,Cancelled,149.78,North,Low,291
292,1292,Electronics,item_292,212.07,422.85,Completed,250.51,South,High,
293,1293,Furniture,item_293,192.87,312.74,Cancelled,2805.02,West,Low,293
294,1294,Electronics,item_294,270.78,211.56,Completed,1611.78,East,Low,294
295,1295,Electronics,item_295,256.09,351.95,Pending,2428.19,South,High,295
296,1296,Toys,item_296,82.96,104.05,Cancelled,794.63,East,Medium,296
297,1297,Electronics,item_297,192.8,208.95,Cancelled,767.46,South,Medium,297
298,1298,Electronics,item_298,330.33,430.53,Completed,325.83,West,Medium,298
299,1299,Electronics,item_299,322.01,354.39,Completed,1524.58,West,Low,299
300,1300,Toys,item_300,488.89,487.18,Cancelled,2761.5,South,High,300
301,1301,Toys,item_301,243.0,32.82,Completed,2069.06,East,Low,301
302,1302,Electronics,item_302,97.88,426.71,Completed,2886.33,South,Low,302
303,1303,Electronics,item_303,156.65,286.34,Cancelled,2512.22,West,Low,303
304,1304,Grocery,item_304,198.08,372.48,Cancelled,2186.28,East,High,304
305,1305,Clothing,item_305,420.95,176.89,Cancelled,2866.83,West,Medium,305
306,1306,Grocery,item_306,393.94,230.77,Completed,1099.64,West,Medium,
307,1307,Toys,item_307,333.73,51.99,Cancelled,921.37,South,Low,307
308,1308,Grocery,item_308,85.57,358.72,Cancelled,505.12,West,Medium,308
309,1309,Electronics,item_309,12.55,161.05,Pending,2295.97,North,High,309
310,1310,Furniture,item_310,229.93,281.82,Pending,354.71,North,Medium,310
311,1311,Toys,item_311,303.04,168.97,Pending,86.4,West,Medium,311
312,1312,Toys,item_312,453.55,489.3,Cancelled,1587.26,West,High,312
313,1313,Grocery,item_313,141.52,81.51,Completed,1332.29,West,Medium,313
314,1314,Electronics,item_314,186.95,472.67,Cancelled,1893.85,South,Medium,314
315,1315,Grocery,item_315,13.32,203.89,Cancelled,1170.68,East,Medium,315
316,1316,Toys,item_316,76.7,167.13,Cancelled,642.51,East,High,316
317,1317,Grocery,item_317,152.81,350.53,Pending,2904.9,South,Medium,317
318,1318,Furniture,item_318,188.86,466.71,Completed,1797.07,South,Low,318
319,1319,Electronics,item_319,476.97,236.19,Cancelled,668.46,East,Low,319
320,1320,Furniture,item_320,339.76,78.2,Pending,763.96,South,Low,320
321,1321,Furniture,item_321,46.24,495.44,Pending,1767.62,West,Low,321
322,1322,Grocery,item_322,353.8,408.03,Cancelled,1932.63,North,High,
323,1323,Grocery,item_323,91.51,310.21,Cancelled,2951.64,West,Medium,323
324,1324,Furniture,item_324,61.91,58.32,Completed,1556.49,South,Medium,324
325,1325,Furniture,item_325,388.45,298.41,Cancelled,494.7,North,Medium,325
326,1326,Furniture,item_326,461.07,52.07,Cancelled,467.94,East,Medium,326
327,1327,Clothing,item_327,265.35,180.67,Completed,1342.59,West,Medium,327
328,1328,Electronics,item_328,406.99,66.39,Pending,1961.51,South,Low,328
329,1329,Clothing,item_329,280.44,172.18,Pending,2877.46,South,Medium,329
330,1330,Clothing,item_330,323.83,221.75,Completed,2225.3,South,Medium,330
331,1331,Furniture,item_331,12.18,115.25,Pending,2269.36,North,Low,331
332,1332,Toys,item_332,101.61,169.73,Pending,386.17,West,Low,332
333,1333,Grocery,item_333,302.52,309.54,Cancelled,386.98,East,Medium,333
334,1334,Grocery,item_334,460.15,299.18,Cancelled,445.15,North,High,334
335,1335,Clothing,item_335,192.92,79.27,Pending,1283.81,South,Low,335
336,1336,Clothing,item_336,248.47,273.32,Cancelled,2795.55,South,Low,336
337,1337,Grocery,item_337,78.75,164.14,Pending,1877.26,East,High,337
338,1338,Clothing,item_338,409.46,482.28,Cancelled,1976.56,West,Low,338
339,1339,Furniture,item_339,249.46,50.51,Completed,2397.85,South,Medium,339
340,1340,Clothing,item_340,273.43,92.42,Pending,1718.67,West,Low,
341,1341,Toys,item_341,65.96,389.81,Pending,1649.03,North,Low,341
342,1342,Clothing,item_342,494.99,60.18,Cancelled,2266.47,East,High,342
343,1343,Grocery,item_343,432.48,52.62,Completed,2338.11,South,High,343
344,1344,Toys,item_344,347.68,431.91,Cancelled,1916.67,South,Low,344
345,1345,Clothing,item_345,408.63,404.67,Cancelled,1084.91,East,Low,345
346,1346,Grocery,item_346,489.71,153.39,Cancelled,838.66,North,High,346
347,1347,Furniture,item_347,460.2,496.32,Cancelled,424.32,South,High,347
348,1348,Grocery,item_348,415.96,383.12,Cancelled,1208.47,South,Low,348
349,1349,Furniture,item_349,193.83,47.0,Completed,1238.41,East,Low,349
350,1350,Grocery,item_350,232.8,249.14,Cancelled,57.3,North,Low,350
351,1351,Grocery,item_351,426.55,399.88,Pending,692.6,West,High,351
352,1352,Grocery,item_352,415.89,175.5,Cancelled,435.25,West,Medium,352
353,1353,Electronics,item_353,32.51,316.83,Pending,98.03,South,Medium,353
354,1354,Furniture,item_354,109.14,347.41,Completed,2652.34,East,High,354
355,1355,Grocery,item_355,55.74,186.61,Completed,1146.94,South,High,355
356,1356,Grocery,item_356,365.73,380.06,Pending,1983.68,North,High,356
357,1357,Electronics,item_357,75.02,120.83,Cancelled,1362.95,North,Low,357
358,1358,Electronics,item_358,494.2,216.93,Completed,1459.22,South,Medium,358
359,1359,Electronics,item_359,60.57,190.11,Pending,454.53,South,Low,359
360,1360,Clothing,item_360,43.52,286.01,Cancelled,1967.56,West,Medium,360
361,1361,Clothing,item_361,460.75,311.88,Pending,2586.89,North,High,361
362,1362,Electronics,item_362,298.89,198.18,Pending,977.79,South,High,362
363,1363,Electronics,item_363,131.6,304.49,Cancelled,1842.4,North,Low,363
364,1364,Clothing,item_364,263.7,259.67,Cancelled,1205.67,North,High,364
